연번,호선,역명,장비,호기,승강기번호,운행구간(공사기준),설치위치,운행구간(자체조사)
102,2,구의,E/S,5,1806-177,지상-F2(대),2번출구 하행,지상-F2(대)
103,2,구의,E/S,6,1806-178,F2(대)-지상,2번출구 상행,F2(대)-지상
104,2,강변,E/S,5,1811-788,지상-F2(대),,
105,2,강변,E/S,6,1811-789,F2(대)-지상,,
106,2,잠실나루,E/S,1,1806-940,F2(대)-지상,내부 대합실 하행,F2(대)-지상
107,2,잠실나루,E/S,2,1806-939,지상-F2(대),내부 대합실 상행,지상-F2(대)
108,2,잠실나루,E/S,3,1809-597,F3(승)-F2(대),2번출구 외선 상행 10-1,F3(승)-F2(대)
109,2,잠실나루,E/S,4,1809-598,F2(대)-F3(승),2번출구 내선 상행 1-4,F2(대)-F3(승)
110,2,잠실,E/S,1,1801-758,지상-B1(대),5번출구 하행,지상-B1(대)
111,2,잠실,E/S,2,1801-757,B1(대)-지상,5번출구 상행,B1(대)-지상
112,2,잠실,E/S,3,1808-875,지상-B1(대),1번출구 하행,지상-B1(대)
113,2,잠실,E/S,4,1808-874,B1(대)-지상,1번출구 상행,B1(대)-지상
114,2,잠실,E/S,5,1807-812,지상-B1(대),2번출구 하행,지상-B1(대)
115,2,잠실,E/S,6,1807-811,B1(대)-지상,2번출구 상행,B1(대)-지상
116,2,잠실새내,E/S,1,1802-837,B1(대)-지상,1번출구 상행,B1(대)-지상
117,2,잠실새내,E/S,2,1802-748,지상-B1(대),2번출구 하행,지상-B1(대)
118,2,잠실새내,E/S,3,1802-836,B1(대)-지상,2번출구 상행,B1(대)-지상
119,2,잠실새내,E/S,4,1802-928,지상-B1(대),5번출구 하행,지상-B1(대)
120,2,잠실새내,E/S,5,1802-929,B1(대)-지상,5번출구 상행,B1(대)-지상
121,2,잠실새내,E/S,6,1802-930,지상-B1(대),6번출구 하행,지상-B1(대)
122,2,잠실새내,E/S,7,1802-931,B1(대)-지상,6번출구 상행,B1(대)-지상
123,2,잠실새내,E/S,8,1802-838,지상-B1(대),7번출구 하행,지상-B1(대)
124,2,잠실새내,E/S,9,1802-839,B1(대)-지상,7번출구 상행,B1(대)-지상
125,2,잠실새내,E/S,10,1802-609,지상-B1(대),8번출구 하행,지상-B1(대)
126,2,잠실새내,E/S,11,1802-749,B1(대)-지상,8번출구 상행,B1(대)-지상
127,2,종합운동장,E/S,1,1801-772,지상-B1(대),4번출구 하행,지상-B1(대)
128,2,종합운동장,E/S,2,1801-773,B1(대)-지상,4번출구 상행,B1(대)-지상
129,2,종합운동장,E/S,3,1809-564,지상-B1(대),8번출구 상행,지상-B1(대)
130,2,종합운동장,E/S,4,1811-803,지상-B1(대),1번출구 하행,지상-B1(대)
131,2,종합운동장,E/S,5,1811-804,B1(대)-지상,1번출구 상행,B1(대)-지상
132,2,삼성,E/S,1,1805-214,지상-B1(대),3번출구 하행,지상-B1(대)
133,2,삼성,E/S,2,1805-215,B1(대)-지상,3번출구 상행,B1(대)-지상
134,2,삼성,E/S,3,1811-348,지상-B1(대),7번출구 하행,지상-B1(대)
135,2,삼성,E/S,4,1811-347,B1(대)-지상,7번출구 상행,B1(대)-지상
136,2,선릉,E/S,1,1802-744,지상-B1(대),4번출구 하행,지상-B1(대)
137,2,선릉,E/S,2,1802-745,B1(대)-지상,4번출구 상행,B1(대)-지상
138,2,역삼,E/S,1,1805-221,"B1(1,2,5~8통로)-B1(대)","1,2,5~8번출구 근접 하행","B1(1,2,5~8통로)-B1(대)"
139,2,역삼,E/S,2,1805-222,"B1(대)-B1(1,2,5~8통로)","1,2,5~8번출구 근접 상행","B1(대)-B1(1,2,5~8통로)"
140,2,역삼,E/S,3,1805-223,"B1(1,2,5~8통로)-B1(대)","1,2,5~8번출구 근접 하행","B1(1,2,5~8통로)-B1(대)"
141,2,역삼,E/S,4,1805-224,"B1(대)-B1(1,2,5~8통로)","1,2,5~8번출구 근접 상행","B1(대)-B1(1,2,5~8통로)"
142,2,역삼,E/S,5,1805-225,"지상(1,2통로)-B1(대)","1,2번출구 근접 하행","지상(1,2통로)-B1(대)"
143,2,역삼,E/S,6,1805-226,"B1(대)-지상(1,2통로)","1,2번출구 근접 상행","B1(대)-지상(1,2통로)"
144,2,역삼,E/S,7,1805-227,지상(5~8통로)-B1(대),5~8번출구 근접 하행,지상(5~8통로)-B1(대)
145,2,역삼,E/S,8,1805-228,B1(대)-지상(5~8통로),5~8번출구 근접 상행,B1(대)-지상(5~8통로)
146,2,역삼,E/S,9,1801-830,지상-B1(대),3번출구 하행,지상-B1(대)
147,2,역삼,E/S,10,1801-837,B1(대)-지상,3번출구 상행,B1(대)-지상
148,2,역삼,E/S,11,1805-229,지상-B1(대),4번출구 하행,지상-B1(대)
149,2,역삼,E/S,12,1805-230,B1(대)-지상,4번출구 상행,B1(대)-지상
150,2,교대(2),E/S,1,1801-775,지상-B1(대),6번출구 하행,지상-B1(대)
151,2,교대(2),E/S,2,1801-774,B1(대)-지상,6번출구 상행,B1(대)-지상
152,2,서초,E/S,1,1802-697,지상-B1(대),6번출구 하행,지상-B1(대)
153,2,서초,E/S,2,1802-698,B1(대)-지상,6번출구 상행,B1(대)-지상
154,2,서초,E/S,3,1806-990,지상-B1(대),3번출구 하행,지상-B1(대)
155,2,서초,E/S,4,1806-989,B1(대)-지상,3번출구 상행,B1(대)-지상
156,2,서초,E/S,5,1807-000,지상-B1(대),4번출구,지상-B1(대)
157,2,서초,E/S,6,1806-999,B1(대)-지상,4번출구,B1(대)-지상
158,2,서초,E/S,7,1808-896,지상-B1(대),"3,4번출구 하행",지상-B1(대)
159,2,서초,E/S,8,1808-892,B1(대)-지상,"3,4번출구 상행",B1(대)-지상
160,2,방배,E/S,1,1809-589,지상-B1(대),4번출구,지상-B1(대)
161,2,방배,E/S,2,1809-590,B1(대)-지상,4번출구,B1(대)-지상
162,2,사당(2),E/S,1,1804-019,B1(대)-B2(승),외선 하행 3-3,B1(대)-B2(승)
163,2,사당(2),E/S,2,1804-274,B2(승)-B1(대),외선 상행 3-3,B2(승)-B1(대)
164,2,사당(2),E/S,3,1804-020,B1(대)-B2(승),외선 하행 8-1,B1(대)-B2(승)
165,2,사당(2),E/S,4,1804-276,B2(승)-B1(대),외선 상행 8-1,B2(승)-B1(대)
166,2,사당(2),E/S,5,1804-021,B1(대)-B2(승),내선 하행 3-3,B1(대)-B2(승)
167,2,사당(2),E/S,6,1804-275,B2(승)-B1(대),내선 상행 3-3,B2(승)-B1(대)
168,2,사당(2),E/S,7,1804-277,B1(4호선환승)-B2(승),내선 하행 8-1,B1(4호선환승)-B2(승)
169,2,사당(2),E/S,8,1804-022,B2(승)-B1(4호선환승),내선 상행 8-1,B2(승)-B1(4호선환승)
170,2,사당(2),E/S,9,1804-023,지상-B1(대),14번출구 하행,지상-B1(대)
171,2,사당(2),E/S,10,1804-024,B1(대)-지상,14번출구 상행,B1(대)-지상
172,2,사당(2),E/S,11,1804-025,지상-B1(대),5번출구 하행,지상-B1(대)
173,2,사당(2),E/S,12,1804-026,B1(대)-지상,5번출구 상행,B1(대)-지상
174,2,낙성대,E/S,1,1803-573,지상-B1(대),4번출구 하행,지상-B1(대)
175,2,낙성대,E/S,2,1803-574,B1(대)-지상,4번출구 상행,B1(대)-지상
176,2,낙성대,E/S,3,1807-749,지상-B1(대),1번출구 하행,지상-B1(대)
177,2,낙성대,E/S,4,1807-750,B1(대)-지상,1번출구 상행,B1(대)-지상
178,2,낙성대,E/S,5,1813-233,지상-B1(대),5번출구,지상-B1(대)
179,2,낙성대,E/S,6,1813-254,B1(대)-지상,5번출구,B1(대)-지상
180,2,서울대입구,E/S,1,1803-446,B2(승)-B1(대),내선 상행 9-1,B2(승)-B1(대)
181,2,서울대입구,E/S,2,1803-447,B1(대)-B2(승),내선 하행 6-1,B1(대)-B2(승)
182,2,서울대입구,E/S,3,1803-448,B2(승)-B1(대),외선 상행 5-3,B2(승)-B1(대)
183,2,서울대입구,E/S,4,1803-449,B2(승)-B1(대),외선 상행 9-1 ,B2(승)-B1(대)
184,2,서울대입구,E/S,5,1803-450,지상-B1(대),3번출구 하행,지상-B1(대)
185,2,서울대입구,E/S,6,1803-451,B1(대)-지상,3번출구 상행,B1(대)-지상
186,2,서울대입구,E/S,7,1803-452,지상-B1(대),4번출구 하행,지상-B1(대)
187,2,서울대입구,E/S,8,1803-453,B1(대)-지상,4번출구 상행,B1(대)-지상
188,2,봉천,E/S,1,1807-210,B1(대)-B2(승),외선 하행 5-3,B1(대)-B2(승)
189,2,봉천,E/S,2,1807-211,B2(승)-B1(대),외선 상행 6-2,B2(승)-B1(대)
190,2,봉천,E/S,3,1807-212,지상-B1(대),3번출구 하행,지상-B1(대)
191,2,봉천,E/S,4,1807-213,B1(대)-지상,3번출구 상행,B1(대)-지상
192,2,봉천,E/S,5,1807-214,지상-B1(대),6번출구 하행,지상-B1(대)
193,2,봉천,E/S,6,1807-215,B1(대)-지상,6번출구 상행,B1(대)-지상
194,2,신림,E/S,1,1807-277,B1(대)-지상(쇼핑몰),7번출구 상행,B1(대)-지상(쇼핑몰)
195,2,신림,E/S,2,1803-562,B1(대)-지상(두산아파트),2번출구 상행,B1(대)-지상(두산아파트)
196,2,신림,E/S,3,1803-563,지상-B1(대),2번출구 하행,지상-B1(대)
197,2,신림,E/S,4,1810-998,지상-B1(대),4번출구 하행,지상-B1(대)
198,2,신림,E/S,5,1810-999,B1(대)-지상,4번출구 상행,B1(대)-지상
199,2,신대방,E/S,1,1803-536,F3(승)-F2(대),내선 하행 3-4,F3(승)-F2(대)
200,2,신대방,E/S,2,1803-537,F2(대)-F3(승),내선 상행 3-4,F2(대)-F3(승)
201,2,신대방,E/S,3,1803-538,F3(승)-F2(대),내선 하행 8-3,F3(승)-F2(대)
202,2,신대방,E/S,4,1803-539,F2(대)-F3(승),내선 상행 8-3,F2(대)-F3(승)
203,2,신대방,E/S,5,1803-540,F3(대)-F2(대),외선 하행 3-1,F3(대)-F2(대)
204,2,신대방,E/S,6,1803-541,F2(대)-F3(승),외선 상행 3-1,F2(대)-F3(승)
205,2,신대방,E/S,7,1803-542,F3(승)-F2(대),외선 하행 7-1,F3(승)-F2(대)
206,2,신대방,E/S,8,1803-543,F2(대)-F3(승),외선 상행 7-1,F2(대)-F3(승)
207,2,구로디지털단지,E/S,1,1803-560,상대식(내선)지상-F2,2번출구 상행,상대식(내선)지상-F2
208,2,구로디지털단지,E/S,2,1803-561,상대식(내선)F2-지상,3번출구 하행,상대식(내선)F2-지상
209,2,구로디지털단지,E/S,3,1803-558,상대식(외선)F2-지상,5번출구 하행,상대식(외선)F2-지상
210,2,구로디지털단지,E/S,4,1803-559,상대식(외선)지상-F2,5번출구 상행,상대식(외선)지상-F2
211,2,대림,E/S,1,1803-789,상대식(내선)F2-지상,1번출구 하행,상대식(내선)F2-지상
212,2,대림,E/S,2,1803-788,상대식(내선)지상-F2(대),1번출구 상행,상대식(내선)지상-F2(대)
213,2,대림,E/S,3,1803-791,상대식(외선)F2(대)-지상,8벌출구 하행,상대식(외선)F2(대)-지상
214,2,대림,E/S,4,1803-790,상대식(외선)지상-F2(대),8번출구 상행,상대식(외선)지상-F2(대)
215,2,대림,E/S,5,1807-691,상대식(외선)F2(대)-지상,5번출구 하행,상대식(외선)F2(대)-지상
216,2,대림,E/S,6,1807-690,상대식(외선)지상-F2(대),5번출구 상행,상대식(외선)지상-F2(대)
217,2,신도림,E/S,1,1803-777,섬식 B3(승)-B2(연결통로),외선 상행 7-3,섬식 B3(승)-B2(연결통로)
218,2,신도림,E/S,2,1803-776,섬식 B3(승)-B2(연결통로),외선 상행 7-3,섬식 B3(승)-B2(연결통로)
219,2,신도림,E/S,3,1807-302,섬식 B3(승)-B2(1호선환승),내선 상행 4-1,섬식 B3(승)-B2(1호선환승)
220,2,신도림,E/S,4,1808-850,상대식 B3(승)-B2(연결),외선 상행,상대식 B3(승)-B2(연결)
221,2,신도림,E/S,5,1808-849,상대식 B2(연결)-B3(승),외선 하행 4-2,상대식 B2(연결)-B3(승)
222,2,신도림,E/S,6,1808-848,상대식 B3(승)-B2(연결),외선 상행,상대식 B3(승)-B2(연결)
223,2,신도림,E/S,7,1808-847,상대식 B2(연결)-B3(승),외선 하행 5-1,상대식 B2(연결)-B3(승)
224,2,신도림,E/S,8,1808-846,상대식 B3(승)-B2(연결),외선 상행,상대식 B3(승)-B2(연결)
225,2,신도림,E/S,9,1808-845,상대식 B2-승강장 B3,외선 하행 7-3,상대식 B2-승강장 B3
226,2,양천구청,E/S,1,1811-009,지상-B1(대),2번출구 하행,지상-B1(대)
227,2,양천구청,E/S,2,1811-000,B1(대)-지상,2번출구 상행,B1(대)-지상
228,2,신정네거리,E/S,1,3810-961,지상-B1(대),1번출구 하행,지상-B1(대)
229,2,신정네거리,E/S,2,3810-962,B1(대)-지상,1번출구 상행,B1(대)-지상
230,2,신정네거리,E/S,3,1811-014,지상-B1(대),2번출구 하행,지상-B1(대)
231,2,신정네거리,E/S,4,1811-015,B1(대)-지상,2번출구 상행,B1(대)-지상
232,2,문래,E/S,1,1807-182,지상-B1(대),1번출구 하행,지상-B1(대)
233,2,문래,E/S,2,1807-181,B1(대)-지상,1번출구 상행,B1(대)-지상
234,2,문래,E/S,3,1807-183,지상-B1(대),2번출구 하행,지상-B1(대)
235,2,문래,E/S,4,1807-184,B1(대)-지상,2번출구 상행,B1(대)-지상
236,2,영등포구청,E/S,1,1803-525,지상-B1(대),1번출구 하행,지상-B1(대)
237,2,영등포구청,E/S,2,1803-524,B1(대)-지상,1번출구 상행,B1(대)-지상
238,2,당산,E/S,1,1803-575,지상-F2(대),3번출구 상행,지상-F2(대)
239,2,합정,E/S,1,1800-427,상대식 B3(6호선환승)-B2(승),외선 상행 3-7,상대식 B3(6호선환승)-B2(승)
240,2,합정,E/S,2,1800-428,상대식 B3(6호선환승)-B2(승),내선 상행 7-3,상대식 B3(6호선환승)-B2(승)
241,2,합정,E/S,3,1809-484,지상-B2(대),2번출구 하행,지상-B2(대)
242,2,합정,E/S,4,1809-485,B2(대)-지상,2번출구 상행,B2(대)-지상
243,2,홍대입구,E/S,1,1800-425,섬식 B2(대)-B3(승),내선 하행 7-3,섬식 B2(대)-B3(승)
244,2,홍대입구,E/S,2,1800-426,섬식 B3(승)-B2(대),외선 상행 4-1,섬식 B3(승)-B2(대)
245,2,홍대입구,E/S,3,1808-983,지상-B2(대),2번출구 하행,지상-B2(대)
246,2,홍대입구,E/S,4,1808-984,B2(대)-지상,2번출구 상행,B2(대)-지상
247,2,홍대입구,E/S,5,1808-585,B2(대)-B3(대),1번출구 하행,B2(대)-B3(대)
248,2,홍대입구,E/S,6,1808-586,B3(대)-B2(대),1번출구 상행,B3(대)-B2(대)
249,2,홍대입구,E/S,7,1808-587,지상-B2(대),1번출구 하행,지상-B2(대)
250,2,홍대입구,E/S,8,1808-588,B2(대)-지상,1번출구 상행,B2(대)-지상
251,2,신촌,E/S,1,1808-986,지상-B1(대),7번출구 하행,지상-B1(대)
252,2,신촌,E/S,2,1808-985,B1(대)-지상,7번출구 상행,B1(대)-지상
253,2,신촌,E/S,3,1813-888,지상-B1(대),6번출구,지상-B1(대)
254,2,신촌,E/S,4,1813-887,B1(대)-지상,6번출구,B1(대)-지상
255,2,이대,E/S,1,1800-770,섬식 B2(대)-B3(승),내선 하행 9-3,섬식 B2(대)-B3(승)
256,2,이대,E/S,2,1800-771,섬식 B3(승)-B2(대),외선 상행 2-2,섬식 B3(승)-B2(대)
257,2,이대,E/S,3,1800-772,섬식 B2(대)-B3(승),내선 하행 2-2,섬식 B2(대)-B3(승)
258,2,이대,E/S,4,1800-759,섬식 B3(승)-B2(대),외선 상행 9-3,섬식 B3(승)-B2(대)
259,2,아현,E/S,1,1810-493,,1번출구,
260,2,아현,E/S,2,1810-492,,1번출구,
261,2,충정로,E/S,1,1809-482,섬식 B3(승)-B2(5호선환승),내선 하행 7-1,섬식 B3(승)-B2(5호선환승)
262,2,충정로,E/S,2,1809-483,섬식 B2(5호선환승)-B3(승),외선 상행 4-3,섬식 B2(5호선환승)-B3(승)
263,2,충정로,E/S,3,1809-207,B2(대)-B1(대),대합실 하행,B2(대)-B1(대)
264,2,충정로,E/S,4,1809-208,B1(대)-B2(대),대합실 상행,B1(대)-B2(대)
265,3,구파발,E/S,1,1808-122,지상-B1(대),3번출구 하행,지상-B1(대)
266,3,구파발,E/S,2,1808-123,B1(대)-지상,3번출구 상행,B1(대)-지상
267,3,구파발,E/S,5,1813-947,B1(대)-F1(지상),2번 출구,B1(대)-F1(지상)
268,3,구파발,E/S,6,1813-948,F1(지상)-B1(대),2번 출구,F1(지상)-B1(대)
269,3,연신내,E/S,1,1800-463,지상-B1(대),2번출구 하행,지상-B1(대)
270,3,연신내,E/S,2,1800-464,B1(대)-지상,2번출구 상행,B1(대)-지상
271,3,연신내,E/S,3,1800-465,지상-B1(대),4번출구 하행,지상-B1(대)
272,3,연신내,E/S,4,1801-575,B1(대)-지상,4번출구 상행,B1(대)-지상
273,3,불광,E/S,1,1808-124,지상-B1(대),5번출구 하행,지상-B1(대)
274,3,불광,E/S,2,1808-125,B1(대)-지상,5번출구 상행,B1(대)-지상
275,3,녹번,E/S,1,1813-889,B1(대)-지상,1번출구,B1(대)-지상
276,3,녹번,E/S,2,1813-890,B1(대)-지상,1번출구,B1(대)-지상
277,3,독립문,E/S,1,1800-879,B3(승)-B2(대),하행 7-1,B3(승)-B2(대)
278,3,독립문,E/S,2,1800-898,B3(승)-B2(대),하행 4-1,B3(승)-B2(대)
279,3,독립문,E/S,3,1806-175,B2(대)-B1(대),X-13 기둥 뒤쪽 하행,B2(대)-B1(대)
280,3,독립문,E/S,4,1806-176,B1(대)-B2(대),X-13 기둥 뒤쪽 상행,B1(대)-B2(대)
281,3,독립문,E/S,5,1810-779,지상-B1(대),3-1번출구 하행 ,지상-B1(대)
282,3,독립문,E/S,6,1810-780,B1(대)-지상,3-1번출구 상행 ,B1(대)-지상
283,3,경복궁,E/S,1,1800-315,B2(대)-B3(승),하행 9-1,B2(대)-B3(승)
284,3,경복궁,E/S,2,1800-308,B3(승)-B2(대),상행 2-4,B3(승)-B2(대)
285,3,경복궁,E/S,3,1800-003,B2(대)-B3(승),상행 8-3,B2(대)-B3(승)
286,3,경복궁,E/S,4,1800-004,B3(승)-B2(대),하행 3-2,B3(승)-B2(대)
287,3,경복궁,E/S,5,1800-309,B1(대)-B2(대),E계단 하행,B1(대)-B2(대)
288,3,경복궁,E/S,6,1800-310,B2(대)-B1(대),E계단 상행,B2(대)-B1(대)
289,3,경복궁,E/S,7,1800-005,B1(대)-B2(대),H계단 하행,B1(대)-B2(대)
290,3,경복궁,E/S,8,1800-006,B2(대)-B1(대),H계단 상행,B2(대)-B1(대)
291,3,경복궁,E/S,9,1810-125,지상-B1(대),3-1번출구 하행 ,지상-B1(대)
292,3,경복궁,E/S,10,1810-126,B1(대)-지상,3-1번출구 상행 ,B1(대)-지상
293,3,안국,E/S,1,1801-132,B3(대)-B4(승),하행 7-2,B3(대)-B4(승)
294,3,안국,E/S,2,1801-133,B4(승)-B3(대),상행 4-3,B4(승)-B3(대)
295,3,안국,E/S,3,1801-134,B3(대)-B4(승),하행 4-4,B3(대)-B4(승)
296,3,안국,E/S,4,1801-135,B4(승)-B3(대),상행 7-1,B4(승)-B3(대)
297,3,안국,E/S,5,1801-136,B2(대)-B3(대),X-14 기둥 뒤쪽 하행,B2(대)-B3(대)
298,3,안국,E/S,6,1801-137,B3(대)-B2(대),X-14 기둥 뒤쪽 상행,B3(대)-B2(대)
299,3,안국,E/S,7,1801-138,B2(대)-B3(대),X-25 기둥 뒤쪽 하행,B2(대)-B3(대)
300,3,안국,E/S,8,1801-139,B3(대)-B2(대),X-25 기둥 뒤쪽 상행,B3(대)-B2(대)
301,3,안국,E/S,9,1808-579,지상-B1(대),5번출구 하행,지상-B1(대)
302,3,안국,E/S,10,1808-580,B1(대)-지상,5번출구 상행,B1(대)-지상
303,3,종로3가(3),E/S,1,1800-338,B2(1호선연결)-B4(3호선연결),3호선연결통로 하행,B2(1호선연결)-B4(3호선연결)
304,3,종로3가(3),E/S,2,1800-339,B4(3호선연결)-B2(1호선연결),1호선연결통로 상행,B4(3호선연결)-B2(1호선연결)
305,3,종로3가(3),E/S,3,1800-082,"B1-B3(3,5연결통로)","3,5연결통로 하행","B1-B3(3,5연결통로)"
306,3,종로3가(3),E/S,4,1800-083,"B3-B1(3,6,7,8출구방향)","3,5연결통로 상행","B3-B1(3,6,7,8출구방향)"
307,3,종로3가(3),E/S,5,1800-084,B1-B3(2-1출구),3호선연결통 하행,B1-B3(2-1출구)
308,3,종로3가(3),E/S,6,1800-085,"B1-B3(3,5연결통로)",,"B1-B3(3,5연결통로)"
309,3,을지로3가(3),E/S,1,1800-477,B3(승)-B2(대),하행 7-2,B3(승)-B2(대)
310,3,을지로3가(3),E/S,2,1801-129,B3(승)-B2(대),하행 4-4,B3(승)-B2(대)
311,3,동대입구,E/S,1,1801-711,지상-B2(대),6번출구 하행,지상-B2(대)
312,3,동대입구,E/S,2,1801-712,B2(대)-지상,6번출구 상행,B2(대)-지상
313,3,동대입구,E/S,3,1810-107,지상-B1(대),5번출구 하행,지상-B1(대)
314,3,동대입구,E/S,4,1810-108,B1(대)-지상,5번출구 상행,B1(대)-지상
315,3,약수,E/S,1,1801-061,지상-B1(대),5번출구 하행,지상-B1(대)
316,3,약수,E/S,2,1801-060,B1(대)-지상,5번출구 상행,B1(대)-지상
317,3,금호,E/S,1,1800-224,지상-B1(대),2번출구 하행,지상-B1(대)
318,3,금호,E/S,2,1801-394,B1(대)-지상,2번출구 상행,B1(대)-지상
319,3,금호,E/S,3,1807-016,지상-B1(대),3번출구 하행,지상-B1(대)
320,3,금호,E/S,4,1807-015,B1(대)-지상,3번출구 상행,B1(대)-지상
321,3,옥수,E/S,1,1806-299,2(대)-지상,4번출구 하행,2(대)-지상
322,3,옥수,E/S,2,1806-300,지상-2(대),4번출구 상행,지상-2(대)
323,3,압구정,E/S,1,1809-342,지상-B1(대),1번출구 하행,지상-B1(대)
324,3,압구정,E/S,2,1809-343,B1(대)-지상,1번출구 상행,B1(대)-지상
325,3,압구정,E/S,3,1809-341,B1(대)-지상,5번출구 상행,B1(대)-지상
326,3,압구정,E/S,4,1811-389,중층-B2(건물),3번출구 하행,3번출구 하행
327,3,압구정,E/S,5,1811-390,B2(건물)-중층,3번출구 상행,3번출구 상행
328,3,압구정,E/S,6,1811-392,중층-1,3번출구 하행,3번출구 하행
329,3,압구정,E/S,7,1811-391,1-중층,3번출구 상행,3번출구 상행
330,3,압구정,E/S,13,1811-449,B1(대)-지상,6번출구 상행,6번출구 상행
331,3,압구정,E/S,14,1811-450,B1(대)-지상,6번출구 하행,6번출구 하행
332,3,신사,E/S,1,1809-339,지상-B1(대),8번출구 하행,지상-B1(대)
333,3,신사,E/S,2,1809-340,B1(대)-지상,8번출구 상행,B1(대)-지상
334,3,신사,E/S,3,1802-051,B1(대)-B1(대),5번출구 하행,B1(대)-B1(대)
335,3,신사,E/S,4,1802-052,B1(대)-B1(대),5번출구 상행,B1(대)-B1(대)
336,3,신사,E/S,5,1802-053,지상-B1(대),5번출구 하행,지상-B1(대)
337,3,신사,E/S,6,1802-054,B1(대)-지상,5번출구 상행,B1(대)-지상
338,3,고속터미널,E/S,1,1802-099,B2(대)-B3(승),상행 2-3,B2(대)-B3(승)
339,3,고속터미널,E/S,2,1802-100,B3(승)-B2(대),상행 2-3,B3(승)-B2(대)
340,3,고속터미널,E/S,3,1802-101,B2(대)-B3(승),상행 4-3,B2(대)-B3(승)
341,3,고속터미널,E/S,4,1802-102,B3(승)-B2(대),상행 4-3,B3(승)-B2(대)
342,3,고속터미널,E/S,5,1802-103,B2(대)-B3(승),상행 7-2,B2(대)-B3(승)
343,3,고속터미널,E/S,6,1802-287,B3(승)-B2(대),상행 7-2,B3(승)-B2(대)
344,3,고속터미널,E/S,7,1802-288,B2(대)-B3(승),상행 9-2,B2(대)-B3(승)
345,3,고속터미널,E/S,8,1802-289,B3(승)-B2(대),상행 9-2,B3(승)-B2(대)
346,3,고속터미널,E/S,9,1802-290,B2(대)-B3(승),하행 2-3,B2(대)-B3(승)
347,3,고속터미널,E/S,10,1802-106,B3(승)-B2(대),하행 2-3,B3(승)-B2(대)
348,3,고속터미널,E/S,11,1802-291,B2(대)-B3(승),하행 4-3,B2(대)-B3(승)
349,3,고속터미널,E/S,12,1802-292,B3(승)-B2(대),하행 4-3,B3(승)-B2(대)
350,3,고속터미널,E/S,13,1802-107,B2(대)-B3(승),하행 7-2,B2(대)-B3(승)
351,3,고속터미널,E/S,14,1802-108,B3(승)-B2(대),하행 7-2,B3(승)-B2(대)
352,3,고속터미널,E/S,15,1802-104,B2(대)-B3(승),하행 9-2,B2(대)-B3(승)
353,3,고속터미널,E/S,16,1802-105,B3(승)-B2(대),하행 9-2,B3(승)-B2(대)
354,3,고속터미널,E/S,17,1809-326,B1(대)-B2(대),X-20 기둥 우측,B1(대)-B2(대)
355,3,고속터미널,E/S,18,1809-327,B2(대)-B1(대),X-20 기둥 우측,B2(대)-B1(대)
356,3,고속터미널,E/S,19,1802-109,B1(대)-B2(대),X-22 기둥 좌측,B1(대)-B2(대)
357,3,고속터미널,E/S,20,1802-110,B2(대)-B1(대),X-22 기둥 좌측,B2(대)-B1(대)
358,3,고속터미널,E/S,21,1809-328,B1(대)-B2(대),X-22 기둥 우측,B1(대)-B2(대)
359,3,고속터미널,E/S,22,1809-329,B2(대)-B1(대),X-22 기둥 우측,B2(대)-B1(대)
360,3,고속터미널,E/S,23,1809-338,B1(대)-B2(대),X-20 기둥 좌측,B1(대)-B2(대)
361,3,고속터미널,E/S,24,1802-111,B2(대)-B1(대),X-20 기둥 좌측,B2(대)-B1(대)
362,3,교대(3),E/S,1,1809-330,B2(대)-B3(승),하행 8-3,B2(대)-B3(승)
363,3,교대(3),E/S,2,1809-331,B3(승)-B2(대),상행 3-2,B3(승)-B2(대)
364,3,남부터미널,E/S,1,1802-115,지상-B1(대),6번출구 하행,지상-B1(대)
365,3,남부터미널,E/S,2,1802-116,B1(대)-지상,6번출구 상행,B1(대)-지상
366,3,양재,E/S,1,1802-398,지상-B1(대),5번출구 하행,지상-B1(대)
367,3,양재,E/S,2,1802-399,계단(X-27)-지상,5번출구 상행,계단(X-27)-지상
368,3,매봉,E/S,1,1807-907,지상-계단(X-11),4번출구 하행,지상-계단(X-11)
369,3,매봉,E/S,2,1807-908,계단(X-11)-지상,4번출구 상행,계단(X-11)-지상
370,3,매봉,E/S,3,1809-591,지상-B1(대),1번출구 하행,지상-B1(대)
371,3,매봉,E/S,4,1809-592,B1(대)-지상,1번출구 상행,B1(대)-지상
372,3,도곡,E/S,1,1807-846,B2(대)-B4(승),상행 4-1,B2(대)-B4(승)
373,3,도곡,E/S,2,1807-847,B4(승)-B2(대),상행 4-1,B4(승)-B2(대)
374,3,도곡,E/S,3,1807-913,B2(대)-B4(승),상행 7-4,B2(대)-B4(승)
375,3,도곡,E/S,4,1807-912,B4(승)-B2(대),상행 7-4,B4(승)-B2(대)
376,3,도곡,E/S,5,1807-915,B2(승)-B4(대),하행 4-1,B2(승)-B4(대)
377,3,도곡,E/S,6,1807-914,B4(대)-B2(승),하행 4-1,B4(대)-B2(승)
378,3,도곡,E/S,7,1807-848,B2(승)-B4(대),하행 7-4,B2(승)-B4(대)
379,3,도곡,E/S,8,1807-849,B4(대)-B2(승),하행 7-4,B4(대)-B2(승)
380,3,대치,E/S,1,1807-887,AD계단-B3(승),하행 10-4,AD계단-B3(승)
